title,url,price,rating,review_count,seller,search_term,scraped_at,is_suspicious,suspicion_reasons
"Cartucho de Tinta HP, 667 3Ym78AL Color 29290",https://www.amazon.com.br/Cartucho-Tinta-HP-3Ym78AL-Color/dp/B00I3FMUZ2/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-8&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,65.0,4.8,,"(2,3 mil)",cartucho HP 667,2025-09-23 00:18:10,False,[]
Cartucho HP 667 Preto Original (3YM79AL),https://www.amazon.com.br/Cartucho-HP-Preto-Original-3YM79AL/dp/B08C1VQ76Y/ref=sr_1_9?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-9&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,89.0,4.7,,(3 mil),cartucho HP 667,2025-09-23 00:18:10,False,[]
Cartucho HP 667XL Preto Original (3YM81AL),https://www.amazon.com.br/Cartucho-HP-667XL-Original-3YM81AL/dp/B08C1XPJGP/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-10&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,149.0,4.8,,"(2,2 mil)",cartucho HP 667,2025-09-23 00:18:11,False,[]
TECKKIN Cartucho de Tinta Compatível para HP 667 667XL Compatível com HP DeskJet Ink Advantage 2374 1275 2376 2775 2776 DeskJet Plus 6475 6476 6075 (1 Preto 1 Colorido),https://www.amazon.com.br/TECKKIN-667xl-tinta-preto-cor/dp/B0DLZP8ZYN/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-11&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,199.0,4.2,,"(7,8 mil)",cartucho HP 667,2025-09-23 00:18:11,True,"[""Palavra-chave suspeita: 'compatível'""]"
Valuetoner Cartuchos de Tinta para 667 667XL 667 XL Compatível com DeskJet Ink Advantage 2374 1275 2375 2376 2775 2776e DeskJet Plus 6475 6476 6075 (1 Preto 1 Colorido),https://www.amazon.com.br/Valuetoner-Cartuchos-667XL-Compat%C3%ADvel-Advantage/dp/B0DPHMK9HV/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-12&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,176.0,4.4,,"(25,7 mil)",cartucho HP 667,2025-09-23 00:18:11,True,"[""Palavra-chave suspeita: 'compatível'""]"
Cartucho HP - 667XL Colorido Original (3YM80AL),https://www.amazon.com.br/Cartucho-HP-Colorido-Original-3YM80AL/dp/B08C28F87W/ref=sr_1_13?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-13&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,149.0,4.8,,(973),cartucho HP 667,2025-09-23 00:18:11,False,[]
"Cartucho de Tinta 667 Preto e Colorido para Impressora, Conjunto de 2",https://www.amazon.com.br/Cartucho-Tinta-Colorido-Impressora-Conjunto/dp/B0DX444M3M/ref=sr_1_14?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-14&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,162.0,5.0,,(1),cartucho HP 667,2025-09-23 00:18:11,False,[]
Kit com 02 Cartuchos H.P 667 - Preto e Colorido,https://www.amazon.com.br/Kit-com-Cartuchos-H-P-667/dp/B0DZD6SBYJ/ref=sr_1_15?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-15&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,165.0,4.7,,(4),cartucho HP 667,2025-09-23 00:18:11,False,[]
"Kit Cartucho de Tinta 667 Preto e Colorido para Impressora, Conjunto de 2, combo, black, color, tricolor, preço, do mercado, bk, cl.",https://www.amazon.com.br/Cartucho-667-Colorido-Impressora-Conjunto/dp/B0F6NQ2SSL/ref=sr_1_16?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-16&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,168.0,5.0,,(3),cartucho HP 667,2025-09-23 00:18:11,False,[]
"Cartucho Hp 664xl Colorido Original (f6v30ab) Para Hp Deskjet 2136, 2676, 3776, 5076, 5276",https://www.amazon.com.br/HP-F6V30AB-Cartucho-Tinta-Colorido/dp/B075X3MBH2/ref=sr_1_17?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-17&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,143.0,4.7,,"(19,7 mil)",cartucho HP 667,2025-09-23 00:18:11,False,[]
Kit Recarga Cartucho Compatível com Impressora 2700 2774 2776 Deskjet Advantage 667,https://www.amazon.com.br/Recarga-Cartucho-Compat%C3%ADvel-Impressora-Advantage/dp/B0CKCYRKHP/ref=sr_1_18?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-18&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,79.0,4.0,,(4),cartucho HP 667,2025-09-23 00:18:11,True,"[""Palavra-chave suspeita: 'compatível'""]"
GPC Image Cartucho de tinta compatível para HP 667 667XL Compatível com HP DeskJet Ink Advantage 1275 2374 2375 2376 2775 2776 6475 Impressora (1 Preto 1 Colorido),https://www.amazon.com.br/GPC-Image-compat%C3%ADvel-para-667/dp/B0FCMRLYFB/ref=sr_1_19?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-19&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,205.0,4.4,,"(16,8 mil)",cartucho HP 667,2025-09-23 00:18:11,True,"[""Palavra-chave suspeita: 'compatível'""]"
Cartucho Compatível HP 667XL Preto 14ml + Colorido 13ml para DeskJet 2774 2722 2376 Printech + Microjet 100% novo,https://www.amazon.com.br/Cartucho-Compat%C3%ADvel-667XL-Colorido-Printech/dp/B0FCPC9293/ref=sr_1_20?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-20&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,229.0,,,Amazon.com.br,cartucho HP 667,2025-09-23 00:18:11,True,"[""Palavra-chave suspeita: 'compatível'""]"
Kit Recarga Compatível Com Impressora 2776 Cartucho 667,https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,84.0,5.0,,(1),cartucho HP 667,2025-09-23 00:18:11,True,"[""Palavra-chave suspeita: 'compatível'""]"
Tinta 100ml Black Compativel Impressora Cartucho 667xl,https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,17.0,4.8,,(6),cartucho HP 667,2025-09-23 00:18:11,False,[]
"Kit 4 Cartuchos de Tintas 667/2 unid. Preto e 2 unid. Colorido para Impressora, Conjunto de 4, combo, black, color, tricolor, preço, do mercado, bk, cl.",https://www.amazon.com.br/Cartuchos-667-Colorido-Impressora-Conjunto/dp/B0F7S5RW5R/ref=sr_1_23?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-23&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,299.0,2.9,,(2),cartucho HP 667,2025-09-23 00:18:11,False,[]
"667XL 667 XL preto e colorido de substituição para HP 667 XL 667 cartuchos de tinta para Deskjet Ink Advantage 1275 2375, DeskJet2775, 1275 2374 2375 2376 2775 2776 6075 6475 6476 Impressoras (1",https://www.amazon.com.br/667-substitui%C3%A7%C3%A3o-cartuchos-DeskJet2775-Impressoras/dp/B0DW3LHS36/ref=sr_1_24?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-24&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,343.0,4.2,,(24),cartucho HP 667,2025-09-23 00:18:11,False,[]
Cartucho 667XL Color 13ml Compatível HP 100% Novo – Printech by Microjet (Colorido),https://www.amazon.com.br/Cartucho-667XL-Color-13ml-Compat%C3%ADvel/dp/B0FCPJRY93/ref=sr_1_25?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-25&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,129.0,5.0,,(1),cartucho HP 667,2025-09-23 00:18:11,True,"[""Palavra-chave suspeita: 'compatível'""]"
